Size,BKW,LF1,LF2,LF4,LF4Block,SS4,LFTime,LFAllTime,LFHC,LFHCBlock,SSHC,HCTime,HCALLTime
50,27.5,16.38,14.58,10.86,28,22,26.461,28.461,15.19,41,9,21.782,24.782
100,37.07,22.15,21.58,16.53,45,10,24.174,28.174,17.53,48,4,25.969,30.969
150,45.23,26.6,26.58,18.53,51,48,53.585,55.585,24.53,68,14,33.015,37.015
200,54.1,36.32,33.58,23.86,67,66,72.044,74.044,31.19,89,22,43.21,47.21
250,61.6,39.12,37.58,29.19,83,1,40.794,48.794,29.19,83,1,40.794,48.794
300,68.25,45.49,44.58,30.53,87,39,44.784,47.784,33.86,97,9,47.325,53.325
350,76.62,50.95,49.58,30.86,88,86,92.426,95.426,38.86,112,14,53.917,58.917
400,84.93,50.86,51.58,35.19,101,97,103.6,106.6,43.53,126,22,60.113,64.113
450,90.52,59.98,58.58,39.19,113,111,117.794,120.794,48.53,141,27,66.768,70.768
500,96.55,65.81,64.58,43.53,126,122,128.931,131.931,53.53,156,32,73.431,77.431
550,102.72,71.81,70.58,47.53,138,136,143.087,146.087,58.19,170,40,79.649,83.649
600,109.01,72.68,71.58,51.86,151,147,154.2,157.2,63.19,185,45,86.315,90.315
650,115.38,76.02,74.58,55.86,163,161,168.331,171.331,68.19,200,50,92.981,96.981
700,121.83,81,79.58,60.19,176,172,179.426,182.426,73.19,215,55,99.65,103.65
750,129.33,87,85.58,62.86,184,14,85.872,91.872,63.86,187,2,87.205,96.205
800,134.42,92,90.58,62.86,184,64,85.872,90.872,67.53,198,8,92.1,99.1
850,140.59,98,96.58,62.19,182,122,128.931,131.931,71.19,209,14,97.397,103.397
900,145.83,103,100.58,61.86,181,176,183.46,186.46,74.86,220,20,102.287,108.287
950,151.14,109,105.58,64.86,191,186,193.54,196.54,78.86,231,26,107.287,113.287
1000,156.5,106.64,105.58,68.19,201,196,203.19,206.19,82.19,242,32,112.196,118.196
1050,162.91,108.26,106.58,71.52,211,206,213.674,216.674,86.19,254,34,117.397,122.397
1100,168.36,113.16,111.58,74.86,221,216,,,89.86,265,40,,
1150,173.85,118.17,116.58,78.53,231,226,,,93.53,276,46,,
1200,179.37,123.17,120.58,81.86,241,236,,,97.53,288,48,,
